Programm log: 0.014893054962: Including mr_ses 0.019701004028: Including mr_sql 0.023802995682: Database connected 0.023941993713: SELECT * FROM mr_sessions WHERE user_id IS NULL AND remote_addr='84.237.120.114' 0.024972915649: DELETE FROM mr_sessions WHERE timeМосква
Мурманск
Архангельск
Астрахань
Белгород
Нижний Новгород
Новосибирск
Брянск
Омск
Орёл
Оренбург
Владимир
Волгоград
Вологда
Пенза
Воронеж
Пермь
Псков
Рязань
Самара
Санкт-Петербург
Саратов
Смоленск
Иваново
Иркутск
Калининград
Калуга
Тамбов
Кемерово
Тверь
Киров
Томск
Тула
Тюмень
Ульяновск
Кострома
Челябинск
Курган
Курск
Чита
Липецк
Магадан
Ярославль


cities in regs: 195
Новый Оскол (Белгородская область)
Боровск (Калужская область)
Новый Уренгой (Ямало-Ненецкий автономный округ)
Бородино (Красноярский край)
Ногинск (Московская область)
Нолинск (Кировская область)
Бронницы (Московская область)
Ноябрьск (Ямало-Ненецкий автономный округ)
Бугульма (Республика Татарстан)
Нурлат (Республика Татарстан)
Бугуруслан (Оренбургская область)
Нытва (Пермский край)
Будённовск (Ставропольский край)
Нюрба (Республика Саха (Якутия))
Нягань (Ханты-Мансийский автономный округ - Югра)
Буинск (Республика Татарстан)
Нязепетровск (Челябинская область)
Буй (Костромская область)
Няндома (Архангельская область)
Буйнакск (Республика Дагестан)
Облучье (Еврейская автономная область)
Бутурлиновка (Воронежская область)
Валдай (Новгородская область)
Обоянь (Курская область)
Валуйки (Белгородская область)
Обь (Новосибирская область)
Велиж (Смоленская область)
Великие Луки (Псковская область)
Ожерелье (Московская область)
Озёры (Московская область)
Великий Устюг (Вологодская область)
Вельск (Архангельская область)
Венев (Тульская область)
Октябрьск (Самарская область)
Верещагино (Пермский край)
Октябрьский (Республика Башкортостан)
Верея (Московская область)
Окуловка (Новгородская область)
Верхнеуральск (Челябинская область)
Олекминск (Республика Саха (Якутия))
Верхний Тагил (Свердловская область)
Оленегорск (Мурманская область)
Олонец (Республика Карелия)
Верхняя Пышма (Свердловская область)
Верхняя Салда (Свердловская область)
Омутнинск (Кировская область)
Верхняя Тура (Свердловская область)
Онега (Архангельская область)
Верхотурье (Свердловская область)
Опочка (Псковская область)
Весьегонск (Тверская область)
Ветлуга (Нижегородская область)
Орлов (Кировская область)
Вилюйск (Республика Саха (Якутия))
Оса (Пермский край)
Вихоревка (Иркутская область)
Осинники (Кемеровская область)
Вичуга (Ивановская область)
Осташков (Тверская область)
Остров (Псковская область)
Владикавказ (Республика Северная Осетия - Алания)
Островной (Мурманская область)
Острогожск (Воронежская область)
Отрадное (Ленинградская область)
Волгодонск (Ростовская область)
Отрадный (Самарская область)
Волгореченск (Костромская область)
Оха (Сахалинская область)
Волжск (Республика Марий Эл)
Оханск (Пермский край)
Очер (Пермский край)
Павлово (Нижегородская область)
Володарск (Нижегородская область)
Волоколамск (Московская область)
Павловский Посад (Московская область)
